PIGMENT - C.I. NAME	PIGMENT - CHEMICAL NAME	PAINT - MARKETING NAME	MANUFACTURER	CODE	Tr	St	VR	Gr	Bl	 Df	HA	HS	Lf	
PB15:1	alpha copper phthalocyanine (1935)	phthalo blue	Schmincke	484	4	3	59	0	3	3	252	-15	7	8
PB15:1	alpha copper phthalocyanine (1935)	berlin blue	MaimeriBlu	359	3	3	60	1	3	2	256	-12	6	8
PB15:1	alpha copper phthalocyanine (1935)	phthalo blue RS	Rowney Artists	139	3	4	65	0	3	0	269	-21	8	8
PB15:1	alpha copper phthalocyanine (1935)	phthalo blue red	Rembrandt	583	4	4	64	0	2	3	273	-21	7	8
PB15:1	alpha copper phthalocyanine (1935)	winsor blue RS	Winsor & Newton	208	3	3	64	0	3	2	274	-20	8	8
PB15:3	beta copper phthalocyanine (1943	manganese blue hue	Winsor & Newton	107	4	1	24	2	2	1	224	-10	6	7
PB15:3	beta copper phthalocyanine (1936	phthalocyanine blue	Utrecht	154	4	4	52	0	3	3	246	-16	8	8
PB15:3	beta copper phthalocyanine (1941	primary blue	Lukas	1118	4	4	52	0	3	3	246	-16	7	8
PB15:3	beta copper phthalocyanine (1937	winsor blue GS	Winsor & Newton	207	4	4	53	0	2	1	249	-18	7	8
PB15:3	beta copper phthalocyanine (1942	primary blue - cyan	MaimeriBlu	400	4	3	55	0	3	4	250	-16	7	8
PB15:3	beta copper phthalocyanine (1938	phthalo blue green	Rembrandt	576	4	4	56	0	2	3	257	-19	7	8
PB15:3	beta copper phthalocyanine (1939	phthalo blue GS	Rowney Artists	140	3	4	66	0	3	0	259	-21	7	8
PB15:3	beta copper phthalocyanine (1934	phthalo blue	Daniel Smith	53	4	4	65	1	2	1	267	-23	8	8
PB15:3	beta copper phthalocyanine (1935	blockx blue	Blockx	254	3	4	65	0	3	0	270	-27	8	8
PB15:3	beta copper phthalocyanine (1940	phthalo blue	DaVinci	267	4	4	66	0	2	2	270	-30	7	8
PB15:3	beta copper phthalocyanine (1933-1935)	phthalocyanine blue	M. Graham	140	4	4	67	0	3	2	271	-32	8	8
PB15:3+PG7	beta copper phthalocyanine + chlorinated	transparent turquoise	Rowney Artists	157	3	3	56	0	1	1	229	-16	7	7
